Entity,Code,Year,Carbon monoxide (CO) emissions,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Organic carbon (OC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Carbon monoxide (CO) emissions (%),Nitrogen oxide (NOx) (%),Sulphur dioxide (SO₂) emissions (%),Non-methane volatile organic compounds (NMVOC) emissions (%),Organic carbon (OC) emissions (%),Black carbon (BC) emissions (%),Ammonia (NH₃) emissions (%)
World,OWID_WRL,2008,533566180.0,136163920.0,118846400.0,131752850.0,13388799.0,6124767.5,55986532.0,11.144461191928675,69.81669902602651,-4.256181322775763,25.10163397715366,54.597392970095015,56.92117172426789,65.5382873357347
World,OWID_WRL,2009,526585060.0,128155310.0,109399976.0,129875016.0,13470208.0,6106062.0,56151356.0,9.690259538974965,59.828768934216384,-11.86631260655196,23.31859777157743,55.53740403190142,56.44192267886522,66.0256310181729
World,OWID_WRL,2010,526508700.0,127496340.0,105690750.0,132721220.0,13680806.0,6186523.5,57054176.0,9.674353375176098,59.00693514625566,-14.854501239752846,26.02111821824944,57.96913086301719,58.50340711214243,68.69504580836652
World,OWID_WRL,2011,522520450.0,132310000.0,109038296.0,134290400.0,13558322.0,6139220.5,57966384.0,8.843581272362705,65.01028648509507,-12.157685541190101,27.51108205587626,56.554836191736435,57.29146850613445,71.39221858581156
World,OWID_WRL,2012,520254370.0,131314104.0,105987690.0,136929300.0,13500804.0,6224275.0,58832116.0,8.371545656053954,63.76825576731592,-14.61528348037591,30.01676373109095,55.8906890304523,59.47062907025737,73.95197335990153
World,OWID_WRL,2013,518939070.0,129140320.0,101403170.0,136970980.0,13547134.0,6134634.5,59389748.0,8.097562192923395,61.05722318779271,-18.308617494718018,30.0563396196138,56.42565092033537,57.1739717205785,75.60075286000702
World,OWID_WRL,2014,504707460.0,126719810.0,96665200.0,137922700.0,13490909.0,6009164.5,59722860.0,5.133047790335763,58.0384865198157,-22.12557232530715,30.960014394684983,55.77643373365988,53.9593355052048,76.5856824136179
World,OWID_WRL,2015,492395040.0,125125190.0,91236510.0,137329920.0,13338598.0,5837880.0,60085684.0,2.5683101098689725,56.04975775377488,-26.498977922909265,30.397159423509954,54.01773353055218,49.570897178655194,77.65846298099258
World,OWID_WRL,2016,474641060.0,123683470.0,87832770.0,137546260.0,13317361.0,5717074.5,61054676.0,-1.129931298745565,54.2517180724863,-29.241064055803623,30.60257803490711,53.77251475965974,46.475768978158435,80.52353196083274
World,OWID_WRL,2017,468139500.0,123489610.0,84854620.0,138751940.0,13370068.0,5725901.0,61386068.0,-2.4842382435879005,54.00994576398354,-31.640290734891714,31.747392268933734,54.38111040675809,46.701910578182314,81.50337590109972
World,OWID_WRL,2018,456801060.0,122251030.0,83258850.0,138128140.0,13239110.0,5632701.0,62020964.0,-4.846091096699789,52.465251934078694,-32.92585860678817,31.155083265561522,52.86896839995243,44.3140561486547,83.38060588341598
World,OWID_WRL,2019,444817340.0,119787070.0,81435150.0,136776340.0,13105488.0,5505723.0,62540650.0,-7.342358949499117,49.392326641298,-34.395049109164795,29.871525537509974,51.326065795809214,41.0607838337131,84.91718847424976
World,OWID_WRL,2020,429021280.0,109981600.0,69563336.0,134215970.0,12962218.0,5305236.0,62931108.0,-10.632755986386606,37.163444366178915,-43.95909822622456,27.440409469917626,49.67175994725435,35.924155389370796,86.07167592484835
World,OWID_WRL,2021,429536740.0,113420800.0,72359976.0,134515180.0,13053429.0,5361625.5,63475340.0,-10.525383131596614,41.45263926663647,-41.706097772988514,27.724514594795792,50.724952456171344,37.368896991879886,87.6808349489026
World,OWID_WRL,2022,424731040.0,113397130.0,73466960.0,133977910.0,12977442.0,5333697.0,64004636.0,-11.526434092416602,41.42311924939588,-40.814300668704426,27.214367338877565,49.84754798549263,36.65334771682557,89.2458319259194
